name,apt_rating,apt_contact,apt_image
Town Center_3b2b,4,(844) 803-0730,https://image4.apartmentfinder.com/i2/LyfBQX70sEigGH-mJwnlAmGJWIeBxwH2pPOsJQx8irQ/118/town-center-champaign-il-pool.jpg
Nantucket Cove_4b3b,4,(844) 265-2223,https://image1.apartmentfinder.com/i2/Kfw2i8SzMX81VG8NGNZM1ZsIgKkGs43kMfx2Q9-XNPw/118/nantucket-cove-champaign-il-nantucket-cove-apartment-homes.jpg
The Legends Apartments_3b2b,5,(844) 822-1226,https://image1.apartmentfinder.com/i2/HwQVF04D3Ozo25BnyhTwfBMJfR0Jf9V_RDP1e2_EPls/118/the-legends-apartments-champaign-il-primary-photo.jpg
Westgate Apartments_2b1b,4,(217) 305-7752,https://image4.apartmentfinder.com/i2/kSxX8iWiUcYDV8ACG9wdBqx12fwrn9WyKPIvI3wLZnM/118/westgate-apartments-champaign-il-pool.jpg
Baytowne Apartments_2b2.5b,5,(844) 834-6687,https://image2.apartmentfinder.com/i2/kjSKbBuD7Wu1XHKilTbpA4hjcJrEiyUTUYVbJfrlW5w/118/baytowne-apartments-champaign-il-lake-and-beach.jpg
Hunters Pond Apartment Homes_2b2b,4,(877) 653-5870,https://image2.apartmentfinder.com/i2/1u_-q14NpLskXjWi1cG0Rj5v4DDSqi6qxAvcVHyPic0/118/hunters-pond-apartment-homes-champaign-il-building.jpg
Ginger Creek_2b2b,4,(844) 308-6230,https://image2.apartmentfinder.com/i2/Sd9ziqQM_i7XSRwNCftA4dq91MgPmY4Ky-X96oBF8Ok/118/ginger-creek-champaign-il-primary-photo.jpg
Stonegate Village_2b1.5b,5,(844) 308-8354,https://image3.apartmentfinder.com/i2/kF47QreD0L9913L6gbB5RAaI1BxaVk0tACXY_JQIwlU/118/stonegate-village-champaign-il-pool.jpg
Stadium View Apartments_5b2b,4,(217) 305-4427,https://image2.apartmentfinder.com/i2/kkpUtjbEAeCOzavPgrgdswLjFHpqWx3ViB_g-8s3-5E/118/stadium-view-apartments-champaign-il-primary-photo.jpg
Tuscany Ridge Townhome_3b3b,2,(217) 305-7684,https://image1.apartmentfinder.com/i2/fhahYK4ER3ELXX1i1caYPeeSPbZVVUnKD-7UBjG2M_A/118/tuscany-ridge-townhome-champaign-il-2-bedroom---kitchen.jpg
Castle on Locust- INDIVIDUAL LEASES AVAILABLE_4b2b,5,(844) 565-2453,https://image2.apartmentfinder.com/i2/RoQg0LNiDcJ3odgZ-8XqgIPW4HX4cHLuCkRLg_dlMNI/118/castle-on-locust--individual-leases-available-champaign-il-primary-photo.jpg
Maywood Apartments_4b2b,4,(844) 298-4230,https://image2.apartmentfinder.com/i2/5qprPZNdoVqeb_GoTEtJEz--xI9nqTAtE3WmeNipn4Y/118/maywood-apartments-champaign-il-primary-photo.jpg
Midtown Lofts_4b3b,5,(217) 305-7021,https://image3.apartmentfinder.com/i2/RaEBi5s4imKrEa8jGGWtTACPkF4NYSvPNO6PGib-xEg/118/midtown-lofts-champaign-il-primary-photo.jpg
Midtown Plaza - BRAND NEW_2b2b,5,(217) 305-7669,https://image4.apartmentfinder.com/i2/-QDOcVPK6iqGc6WolkhelrXXQKSWfCoD4rLjumoj44M/118/midtown-plaza---brand-new-champaign-il-primary-photo.jpg
South West Apartments - ONE MONTH FREE RENT_2b1b,4,(217) 318-0978,https://image3.apartmentfinder.com/i2/icP9nlafaxMB6C5EQV3iAD8z3PfTCgyIxGmzswtrIm8/118/south-west-apartments---one-month-free-rent-champaign-il-primary-photo.jpg
Windcrest Apartments_2b1b,3,(844) 241-6752,https://image1.apartmentfinder.com/i2/Qe-eyo7ZVg7QzCSWt_TgZHvpWnz-WAGshliAnN5dD9w/118/windcrest-apartments-champaign-il-primary-photo.jpg
212 East_4b2b,5,(217) 689-4928,https://image4.apartmentfinder.com/i2/ODFUMjjkEfVf9W2m_jEu01tudWxMB7DUISU75jsmYYc/118/212-east-champaign-il-primary-photo.jpg
Fields South_2b1b,5,(217) 305-4527,https://image3.apartmentfinder.com/i2/t3Y3Hbt-FJRTvmbeMolkTciUpVbiPUhma6Cen0tP8v8/118/fields-south-champaign-il-primary-photo.jpg
WatersEdge Apartments_3b2b,5,(217) 305-7769,https://image3.apartmentfinder.com/i2/bRqY_reOO1wKkt9W7NalGvn5hu8_hR-qlbHoeyRTiws/118/watersedge-apartments-champaign-il-primary-photo.jpg
Furnished Studio – Champaign - Urbana_1b1b,3,(217) 318-0942,https://image2.apartmentfinder.com/i2/6pbvt3_z9iJjNylIyB2Psy4KFxQPd_6tCHlyLtouxbA/118/furnished-studio-champaign---urbana-champaign-il-primary-photo.jpg
Colonial Village_3b1.5b,4,(217) 318-0987,https://image2.apartmentfinder.com/i2/JbV3E6_FQ7g-fMulS0BgkN5knonXCZMvufsh8I6N7Eo/118/colonial-village-champaign-il-primary-photo.jpg
Westwood Village_1b1b,4,(217) 305-7110,https://image4.apartmentfinder.com/i2/gEWK92uOVIbvk3N9JmktsE0cVY_SJpvX-ILqthzWItI/118/westwood-village-champaign-il-primary-photo.jpg
Continental Plaza_3b1.5b,4,(217) 305-7097,https://image2.apartmentfinder.com/i2/KiCpeGcuLjbmwBf1tY4_UzYvJQAIBUwQs3zkV4X_RVc/118/continental-plaza-champaign-il-continental-plaza-apartments.jpg
Prestwick Point_2b2b,5,(217) 305-7664,https://image2.apartmentfinder.com/i2/_3tlC9olqU2lk5ba34qrBRAbQ6ZMAPbC4BbcLCI8qaE/118/prestwick-point-champaign-il-builidng.jpg
205 E Healey St_1b1b,4,(855) 850-4079,https://image3.apartmentfinder.com/i2/OTewAVH7T8N_NLAv6dUe4_DWtlzPZ6AfzToVFA09VBo/118/205-e-healey-st-champaign-il-primary-photo.jpg
706 S Locust St_2b1b,4,(844) 898-7871,https://image3.apartmentfinder.com/i2/YUbeFBl8KKSxg38DKdDMhl4RlxCR8miLFTSHkmnn1Nk/118/706-s-locust-st-champaign-il-primary-photo.jpg
Crowwood Point Apartments_2b2b,5,(217) 305-7834,https://image2.apartmentfinder.com/i2/fIxj-oEnvxa1kjeOAAiyZq6xzsmWGxilvwCJRf0DYW0/118/crowwood-point-apartments-champaign-il-primary-photo.jpg
Next Chapter -507 Second_4b4b,5,(844) 528-5726,https://image1.apartmentfinder.com/i2/ySde0E_kwITf0W0-GXBnYCxp_-Es8KqDShIydqonG4g/118/next-chapter--507-second-champaign-il-507-second---terraces-on-second.jpg
Next Chapter -75 Armory_4b2b,4,(217) 305-7830,https://image2.apartmentfinder.com/i2/TC6QQuZ7A3zIeMbaHQbjLAiNF3QoVznoIPVGWVnt4r0/118/next-chapter--75-armory-champaign-il-primary-photo.jpg
Next Chapter -305 Daniel_4b3b,4,(844) 626-4630,https://image2.apartmentfinder.com/i2/cOAdNvqtGkz4cEnfLxrXau1H2m0x1wqKUkvBdCIiPiE/118/next-chapter--305-daniel-champaign-il-building.jpg
Next Chapter -217 South_2b2b,5,(877) 930-2993,https://image1.apartmentfinder.com/i2/izrRAPtTjxHftVX7Af0M9QVuYgajd38EOvzQGqDEhmY/118/next-chapter--217-south-champaign-il-217-south-apartments.jpg
Gentry Square Apartments_2b2.5b,5,(217) 305-7798,https://image3.apartmentfinder.com/i2/cRrQA1dXvj-WZRnic4Hfavfk88s48xZEvOFiGmHfkrA/118/gentry-square-apartments-champaign-il-exterior---pool-and-sundeck.jpg
Regency West_3b1b,4,(844) 443-7164,https://image4.apartmentfinder.com/i2/q_-svQjpDXMHHrfOtqIIIM3TtgiTy7TAOSdxjQ-yHwA/118/regency-west-champaign-il-primary-photo.jpg
The Courtyard on Randolph_3b1b,4,(844) 206-1889,https://image1.apartmentfinder.com/i2/QnBoPP-FblD4Oz1LDBdIHQJ-n-qd5fNyXRTmIzYNLxk/118/the-courtyard-on-randolph-champaign-il-primary-photo.jpg
Parkland Point_4b4b,5,(877) 450-5929,https://image3.apartmentfinder.com/i2/cndCdF9jcW7tukIOlyiN4lVpuRmK5Z7VturZ9yUmWRA/118/parkland-point-champaign-il-leasing-office-clubhouse.jpg
Gramercy Park Apartments_2b1b,4,(844) 835-0803,https://image3.apartmentfinder.com/i2/i74R9nzENQlJtA7QgBs2WKhmVTMbpYZZcCjSpOYgL6U/118/gramercy-park-apartments-champaign-il-2-bedroom-kitchen.jpg
Colony West_3b1.5b,4,(217) 305-7671,https://image2.apartmentfinder.com/i2/-RAaYxQdFNvw587qx687V5ts7Fh1xKtBJ48dpnojAas/118/colony-west-champaign-il-primary-photo.jpg
Colony Court_3b1b,3,(217) 305-7651,https://image2.apartmentfinder.com/i2/3PnRMH4ZbLqkJ1YQ0m8eEdnJFSjDGf5yT2fhegDIHQk/118/colony-court-champaign-il-primary-photo.jpg
Flats on White_4b2b,4,(217) 305-4407,https://image2.apartmentfinder.com/i2/dHl6fHht87Wydf_m3jdLGIySMJwF7ZfCvQWH-esxHWg/118/flats-on-white-champaign-il-primary-photo.jpg
905 Lofts_2b1b,4,(217) 305-4330,https://image2.apartmentfinder.com/i2/2cre-VOaCikstYs9DENOunigKKX90Ikt9Ml0OE51uqA/118/905-lofts-champaign-il-primary-photo.jpg
Victoria Point_3b2b,5,(877) 786-4856,https://image1.apartmentfinder.com/i2/895s9bD4OneVjdkC0-GLgGgsvQLw3ACSfJPMXkp9drM/118/victoria-point-champaign-il-primary-photo.jpg
Smith Apartments @ 1004 South Locust_2b1b,3,(217) 305-7784,https://image3.apartmentfinder.com/i2/ZCXeN28y19fovaXkEWkGELa9698VaUgd1oUWjezoGIs/118/smith-apartments-1004-south-locust-champaign-il-primary-photo.jpg
Windsor West Apartments_3b3b,5,(217) 318-0939,https://image2.apartmentfinder.com/i2/-4FMDGte1OUpYwFYrn21B5q7R8tubcbz4wZz4iCCMoM/118/windsor-west-apartments-champaign-il-primary-photo.jpg
Skyline Tower_3b3b,5,(217) 305-7101,https://image1.apartmentfinder.com/i2/U-5k3Sygw0U-q2JrYcaHtIYR3BSx1vUPnONukYmZmLM/118/skyline-tower-champaign-il-primary-photo.jpg
1008 S. Fourth_4b4b,5,(844) 893-3443,https://image2.apartmentfinder.com/i2/_2P-2GmdkjHLI4ItfMyBjaWdi30byCyxOBndJwnedj0/118/1008-s-fourth-champaign-il-primary-photo.jpg
Hessel on the Park_2b1.5b,3,(217) 318-3731,https://image2.apartmentfinder.com/i2/kj3K9arWGZfKgBwqrOR-vKjKeW7kxnUT6CWazhATasU/118/hessel-on-the-park-champaign-il-hessel-on-the-park-apartments-townhomes.jpg
512 Green_4b3b,4,(217) 600-6320,https://image3.apartmentfinder.com/i2/IdXhaTabspRf1dHH2VXDYuc4Y8-OCjTph7OsE51trcg/118/512-green-champaign-il-primary-photo.jpg
Latitude Apartments_4b4b,4,(844) 712-6077,https://image2.apartmentfinder.com/i2/Ow7j87-l5mvK6D1nLTyFNOwRyXRxhwJNi16W3ci6s5Y/118/latitude-apartments-champaign-il-primary-photo.jpg
112 Green_4b2b,5,(217) 689-0514,https://image4.apartmentfinder.com/i2/toBb8lnziy5qQ_GMsrfz0qSm1YbttepLRTccUSq3fBU/118/112-green-champaign-il-primary-photo.jpg
907 Third_4b2b,3,(217) 305-7031,https://image2.apartmentfinder.com/i2/7AL5SVLruUeqdSmKhRhppvBn0u2F_2bApZOcO6StrfM/118/907-third-champaign-il-primary-photo.jpg
205 E University Ave_4b2b,5,(217) 689-1643,https://image1.apartmentfinder.com/i2/SJwVpSAHKv9nIBR_1QCjme4KFFAX6vMTECQJZhlcCFM/118/205-e-university-ave-champaign-il-primary-photo.jpg
609 S. Randolph_4b4b,4,(217) 305-7805,https://image3.apartmentfinder.com/i2/VzKKN8frNtQCjU4B7qSmHxUQgspOrtGX9sWH9LAtdN4/118/609-s-randolph-champaign-il-primary-photo.jpg
Tuscany Cove_3b1b,4,(217) 305-7662,https://image4.apartmentfinder.com/i2/TR9aL2oV8Cx6ADBGIxVuaumQ6mkC2zQifJy8OSl4r6c/118/tuscany-cove-champaign-il-primary-photo.jpg
Smith Apartments @ 201 East Armory_2b1b,0,(844) 741-8196,https://image4.apartmentfinder.com/i2/fraHBXEu1nM7hduLK7iKcIaKfxc6vddmCC08JyPWs4M/118/smith-apartments-201-east-armory-champaign-il-primary-photo.jpg
Garden Court Apartments_2b1.5b,4,(217) 305-7646,https://image2.apartmentfinder.com/i2/JlM5wsn3iN2i8l9q01PSgorfYfFlTvEw1fbKRSSobwo/118/garden-court-apartments-champaign-il-courtyard.jpg
Smith Apartments @ 53 East Chalmers_2b2b,5,(844) 741-8210,https://image3.apartmentfinder.com/i2/CU0hVwWts_M0_ZxeUZyp0jg-SLk_7NepG9dpwlGdoM8/118/smith-apartments-53-east-chalmers-champaign-il-primary-photo.jpg
201 West Green Street - BRAND NEW_2b2b,4,(217) 903-4603,https://image3.apartmentfinder.com/i2/rfbcjz5v235sCqgokBhXhtQ28q45bBS_qO3FouUk-W0/118/201-west-green-street---brand-new-champaign-il-primary-photo.jpg
Mattis North Apartments_3b1b,4,(217) 305-7810,https://image3.apartmentfinder.com/i2/22p5f_A38fdp9t6Y4b6VoAh2Ou5c2K6gdUIftnhDvAA/118/mattis-north-apartments-champaign-il-primary-photo.jpg
101 E Green St_4b1.5b,5,(217) 305-4353,https://image2.apartmentfinder.com/i2/lE2X_AWKW5Y4dqOkBaE07XqJVCFfveC3C6i6QNtSF9U/118/101-e-green-st-champaign-il-primary-photo.jpg
Twin Oaks Apartments_1b1b,5,(217) 305-7764,https://image3.apartmentfinder.com/i2/Rf00-4avCqhtuJsmc1n0ZiwZipkA0igFcPvhuvVe-UM/118/twin-oaks-apartments-champaign-il-twin-oaks.jpg
Wellington Place Apartments_3b1.5b,5,(217) 305-7370,https://image1.apartmentfinder.com/i2/2SG0vMWMd-u4OG2knzLzJOvscIvSObVIjH0C0xjDXmo/118/wellington-place-apartments-champaign-il-primary-photo.jpg
"Hessel Park Centre Apts - JSJ, INC_2b1b",3,(217) 305-7672,https://image4.apartmentfinder.com/i2/PKirzFmoJTYfzty3YVmEhAXbzRkURDXHqIL6SuLy0Lw/118/hessel-park-centre-apts---jsj-inc-champaign-il-primary-photo.jpg
Carisbrooke Apartments_2b1.5b,5,(217) 305-7714,https://image1.apartmentfinder.com/i2/a8JXSJRoPfaFSV4GELGP4SzUYGZ1cq4nIMpTmScMnRQ/118/carisbrooke-apartments-champaign-il-primary-photo.jpg
1702 Maynard Dr_3b1.5b,0,(217) 643-8018,https://image3.apartmentfinder.com/i2/VFWQxhgF0Qngz3Jb1oKagvV74Nqokpt2-cLJKS0SsLA/117/1702-maynard-dr-champaign-il-primary-photo.jpg
611 Crescent Dr_1b1b,0,(217) 305-7742,https://image1.apartmentfinder.com/i2/yeR-sxnnr7tjAtvZZrzHjU3BSe_h5ohyvusnbDQjb2I/117/611-crescent-dr-champaign-il-primary-photo.jpg
210 W Washington St_4b2b,0,(844) 408-8659,https://image2.apartmentfinder.com/i2/S-p2MuUC7cna8Ht1NnARI_lsbG_ze1pBGSIHMg5ctog/117/210-w-washington-st-champaign-il-primary-photo.jpg
308 E Clark St_4b2b,0,(217) 305-7117,https://image3.apartmentfinder.com/i2/rLPXAFCe6ueXm0yvXjAkZzjr_QDzuCVA93Th_6suVZc/117/308-e-clark-st-champaign-il-primary-photo.jpg
1119 Plymouth Dr_1b1b,0,(217) 305-7761,https://image4.apartmentfinder.com/i2/5Km95mF7SL1DpwUq-cA9OHKK0Gp7dSWEicHugOBJkLk/117/1119-plymouth-dr-champaign-il-primary-photo.jpg
605 S 4th St_0b1b,0,(217) 689-0959,https://image1.apartmentfinder.com/i2/Re5MA-2zgRL2bFsPynLNWrT30qgHXGFH-C02rbZTOmY/117/605-s-4th-st-champaign-il-primary-photo.jpg
310 E Chalmers St_2b1b,0,(217) 305-4613,https://image3.apartmentfinder.com/i2/dwi4P7SnH3iARxtNBhg_vSnpDvatRFMLI1qhQd0vWJI/117/310-e-chalmers-st-champaign-il-primary-photo.jpg
107 E Daniel St_4b2b,0,(217) 689-4464,https://image1.apartmentfinder.com/i2/FNl_p466vsXufrHiebKQd57UDdGlTY19RXgx-0ckfR8/117/107-e-daniel-st-champaign-il-primary-photo.jpg
107 S Wright St_3b1b,0,(844) 254-5392,https://image4.apartmentfinder.com/i2/iTIDe16CdmEbaHSZ94kygKusOtsO5SlNgPTH4vJSIu4/117/107-s-wright-st-champaign-il-primary-photo.jpg
202 W Columbia Ave_1b1b,0,(217) 600-6278,https://image2.apartmentfinder.com/i2/VHDwnAx5vzT8NT02EmKUKd3bBrYUj0_uDThprpjDPj4/117/202-w-columbia-ave-champaign-il-primary-photo.jpg
801 S 4th St_2b1b,0,(217) 305-7720,https://image4.apartmentfinder.com/i2/BnDV6odRFplQgJJG3-Tlk2bXxwS48-BkXDntwwULLns/117/801-s-4th-st-champaign-il-primary-photo.jpg
1012 S 1st St_2b1b,0,(217) 305-7665,https://image2.apartmentfinder.com/i2/NeWDKt2F8T1qihc7OhZMKxDRSU6665-XmrLc20iwTl8/117/1012-s-1st-st-champaign-il-primary-photo.jpg
605 S 4th St_2b1b,0,(217) 600-6290,https://image1.apartmentfinder.com/i2/g1KB5YT1Yexj9bUENQzwdjFHmxCfpofo9FBv03yHRUE/117/605-s-4th-st-champaign-il-primary-photo.jpg
107 S Wright St_5b2b,0,(217) 689-1347,https://image4.apartmentfinder.com/i2/s7wQXQbdAx6Tk3l8uyksmqhRhyZsk6QxYYnPZe1dIOg/117/107-s-wright-st-champaign-il-primary-photo.jpg
202 W Columbia Ave_2b1b,0,(217) 305-7079,https://image2.apartmentfinder.com/i2/QHWgXzZoKALr5qfO3QanGW511VtrpZhXiN28PqJ7cos/117/202-w-columbia-ave-champaign-il-primary-photo.jpg
208 W Washington St_4b2b,0,(217) 305-7543,https://image1.apartmentfinder.com/i2/3eZTZcs1xOFLB6w4vkOKECiw3H7lNfPlTQ1IaLgZAOc/117/208-w-washington-st-champaign-il-primary-photo.jpg
1119 Plymouth Dr_2b2b,0,(217) 305-7655,https://image1.apartmentfinder.com/i2/ONPZUz0_q3fnYw_2L4uP6gzhfDFCixbQXAdEEgecTzM/117/1119-plymouth-dr-champaign-il-primary-photo.jpg
1012 S 1st St_2b1b,0,(844) 298-5490,https://image1.apartmentfinder.com/i2/FTWklW9orQrGHnMF7m9Nu3awjmqzb7eFcND_ESULGfE/117/1012-s-1st-st-champaign-il-primary-photo.jpg
107 S Wright St_3b1b,0,(217) 689-1240,https://image1.apartmentfinder.com/i2/1FzNpS55FBU8-zHgiy9anzFQ3dJf5nbrlFA_AZF6FZI/117/107-s-wright-st-champaign-il-primary-photo.jpg
202 W Columbia Ave_2b1b,0,(217) 305-4381,https://image4.apartmentfinder.com/i2/U3ndM-jIEuLWCgE4UJeKKC9ZkwYthKkTr5Mg8u45F_s/117/202-w-columbia-ave-champaign-il-primary-photo.jpg
310 E Chalmers St_2b1b,0,(217) 689-4219,https://image4.apartmentfinder.com/i2/BGMq7va-6M9wWeD9wOyi8GNtCqqiKuO8VFxOJO_-jfM/117/310-e-chalmers-st-champaign-il-primary-photo.jpg
107 S Wright St_0b1b,0,(217) 318-0859,https://image4.apartmentfinder.com/i2/o6lukz5zcgu-BuHrNn9xdCI67u1hXqFjg0ifBwOGKzg/117/107-s-wright-st-champaign-il-primary-photo.jpg
202 W Columbia Ave_1b1b,0,(217) 689-1296,https://image4.apartmentfinder.com/i2/x6HFOq9a1iMKV7EvAc_NWXIVv5JKsT5AulCHYmrpRrE/117/202-w-columbia-ave-champaign-il-primary-photo.jpg
107 E Daniel St_4b2b,0,(217) 305-7411,https://image2.apartmentfinder.com/i2/QOqhzBpkvs44YeGsputEpsmiVvL_qKb9KT3ArCyF-tg/117/107-e-daniel-st-champaign-il-primary-photo.jpg
107 E Daniel St_4b2b,0,(217) 866-0006,https://image2.apartmentfinder.com/i2/Y66boZf3X8qin9VdTUhZKUJAPt7YT4UhkAUoDR2PtCc/117/107-e-daniel-st-champaign-il-primary-photo.jpg
107 E Daniel St_4b2b,0,(217) 305-4623,https://image3.apartmentfinder.com/i2/0kKD9a5Ugdrnb4BkLAIyzQvY27qGpj6W5MH91yqCgRI/117/107-e-daniel-st-champaign-il-primary-photo.jpg
506 E White St_2b1b,0,(217) 689-1174,https://image1.apartmentfinder.com/i2/u2BmxVMt7YcjXwoqVC25vhV1pFQQuk05kQhICBv2CAg/117/506-e-white-st-champaign-il-primary-photo.jpg
506 E White St_3b1b,0,(844) 693-1378,https://image2.apartmentfinder.com/i2/F3BU1GMREe0vVkcY1KY8T3WWYYj3NZ445-o6q2N9wV0/117/506-e-white-st-champaign-il-primary-photo.jpg
805 S Locust St_4b1b,0,(844) 838-7376,https://image4.apartmentfinder.com/i2/XrN2-Lchn0vFpq8HuLdKVaMbtNzENVi-SeoA5Lo4sGk/117/805-s-locust-st-champaign-il-primary-photo.jpg
805 S Locust St_4b1b,0,(217) 305-4426,https://image2.apartmentfinder.com/i2/cIJkMMvFy1fv6UhUCWXcQQA-SQiQUJ621Yx6FyEHlwY/117/805-s-locust-st-champaign-il-primary-photo.jpg
750 Sedgegrass Dr_3b2.5b,0,(855) 830-0331,https://image3.apartmentfinder.com/i2/MbWjpYMixO5Wss4I8ME03Wpnw3Fwk1JBxWI6FuGZ5I8/117/750-sedgegrass-dr-champaign-il-primary-photo.jpg
2401 Clayton Blvd_1b1b,0,(217) 600-6282,https://image3.apartmentfinder.com/i2/yA0QMD0xWmqXVsNc5QRqepGBspYIHDRgoNAAnc3CpYY/117/2401-clayton-blvd-champaign-il-primary-photo.jpg
1516 Stonebluff Ct_3b2.5b,0,(844) 359-8450,https://image1.apartmentfinder.com/i2/3dawc39KtsCvMwc93d45ySlGf17DfGt45G8tK1owFVE/117/1516-stonebluff-ct-champaign-il-primary-photo.jpg
2401 Clayton Blvd_0b1b,0,(217) 305-4560,https://image1.apartmentfinder.com/i2/8139nntadq1XteVcJ0YeT4MRtk5ZmtvZ6zOO9JTcYDI/117/2401-clayton-blvd-champaign-il-primary-photo.jpg
756 Sedgegrass Dr_3b2.5b,0,(844) 867-4373,https://image3.apartmentfinder.com/i2/WT1Qz2CHmeTAgosZdz-3qE04GKO-rwirFz88H02LWA4/117/756-sedgegrass-dr-champaign-il-primary-photo.jpg
1518 Greyrock Ln_3b2.5b,0,(844) 337-6619,https://image2.apartmentfinder.com/i2/wgeGvc_qLEPd18BK3EYkETrfIhKElJPbVlGMSEEBYdM/117/1518-greyrock-ln-champaign-il-primary-photo.jpg
1404 Cobblestone Way_3b2.5b,0,(844) 340-4639,https://image2.apartmentfinder.com/i2/5_zDlq6LmsUuVwsw6SFpewkPQ-dvD0exbpoUn8N4xOs/117/1404-cobblestone-way-champaign-il-primary-photo.jpg
752 Sedgegrass Dr_3b2.5b,0,(855) 208-7162,https://image4.apartmentfinder.com/i2/PgCeXLOK0P89UA0e3eHGdHHBBsW1tYahmRl2o7Z0eCU/117/752-sedgegrass-dr-champaign-il-primary-photo.jpg
1515 W Kirby Ave_2b1.5b,0,(217) 305-7673,https://image2.apartmentfinder.com/i2/xyQ6sdDoyhTJXHZ9-NSzHLHgxwk84QdcjQhRfjUlNEw/117/1515-w-kirby-ave-champaign-il-primary-photo.jpg
1204 W Bradley Ave_3b1b,0,(217) 305-4105,https://image4.apartmentfinder.com/i2/PVJwvBotaerjwH90nNIl-jA9kaMjrAKYWyuKI2CqfaM/117/1204-w-bradley-ave-champaign-il-primary-photo.jpg
2401 Clayton Blvd_2b2b,0,(217) 305-4221,https://image1.apartmentfinder.com/i2/TQLDyDyZGEjKDaiE8kCDxfk013jTvCZJiwT9cbbKufM/117/2401-clayton-blvd-champaign-il-primary-photo.jpg
410 E Park St_5b5b,0,(217) 318-3713,https://image2.apartmentfinder.com/i2/u-1x3f6Y5KnnXxc20VLFcOk5nBG1AXDRQ-e6zMvPIJY/117/410-e-park-st-champaign-il-primary-photo.jpg
1001 N Walnut St_4b3b,0,(217) 689-2571,https://image1.apartmentfinder.com/i2/vjRUotvI2LXt0PNkhcgDiBHDAqCF2OK0HHN91ciYsWg/117/1001-n-walnut-st-champaign-il-primary-photo.jpg
